# ObservableName   ALPHA
   obs0 0
   obs1 0
   obs2 0
   obs3 0
   obs4 0
   obs5 0
   obs6 0
   obs7 0
   obs8 0
   obs9 0
  obs10 0
  obs11 0
  obs12 0
  obs13 0
  obs14 0
  obs15 0
  obs16 0
  obs17 0
  obs18 0
  obs19 0
  obs20 0
  obs21 0
  obs22 0
  obs23 0
  obs24 0
  obs25 0
  obs26 0
  obs27 0
  obs28 0
  obs29 0
  obs30 0
  obs31 0
  obs32 0
  obs33 0
  obs34 0
  obs35 0
  obs36 0
  obs37 0
  obs38 0
  obs39 0
  obs40 0
  obs41 0
  obs42 0
  obs43 0
  obs44 0
  obs45 0
  obs46 0
  obs47 0
  obs48 0
  obs49 0
  obs50 0
  obs51 0
  obs52 0
  obs53 0
  obs54 0
  obs55 0
  obs56 0
  obs57 0
  obs58 0
  obs59 0
  obs60 0
  obs61 0
  obs62 0
  obs63 0
  obs64 0
  obs65 0
  obs66 0
  obs67 0
  obs68 0
  obs69 0
  obs70 0
  obs71 0
  obs72 0
  obs73 0
  obs74 0
  obs75 0
  obs76 0
  obs77 0
  obs78 0
  obs79 0
  obs80 0
  obs81 0
  obs82 0
  obs83 0
  obs84 0
  obs85 0
  obs86 0
  obs87 0
  obs88 0
  obs89 0
  obs90 0
  obs91 0
  obs92 0
  obs93 0
  obs94 0
  obs95 0
  obs96 0
  obs97 0
  obs98 0
  obs99 0
